GO:0000015	phosphopyruvate hydratase complex
GO:0070522	ERCC4-ERCC1 complex
GO:0070531	BRCA1-A complex
GO:0070532	BRCA1-B complex
GO:0070533	BRCA1-C complex
GO:0070545	PeBoW complex
GO:0070552	BRISC complex
GO:0070554	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
GO:0070556	TAF4B-containing transcription factor TFIID complex
GO:0070557	PCNA-p21 complex
GO:0070558	alphaM-beta2 integrin-CD63 complex
GO:0070559	lysosomal multienzyme complex
GO:0070565	telomere-telomerase complex
GO:0070578	RISC-loading complex
GO:0070603	SWI/SNF superfamily-type complex
GO:0070618	Grb2-Sos complex
GO:0070619	Shc-Grb2-Sos complex
GO:0070620	EGFR-Grb2-Sos complex
GO:0070621	EGFR-Shc-Grb2-Sos complex
GO:0070622	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex
GO:0070652	HAUS complex
GO:0070691	P-TEFb complex
GO:0070692	CTDK-1 complex
GO:0070693	P-TEFb-cap methyltransferase complex
GO:0070695	FHF complex
GO:0070718	alphaPDGFR-SHP-2 complex
GO:0070719	alphaPDGFR-PLC-gamma-1-PI3K-SHP-2 complex
GO:0070720	Grb2-SHP-2 complex
GO:0070721	ISGF3 complex
GO:0070722	Tle3-Aes complex
GO:0070724	BMP receptor complex
GO:0070743	interleukin-23 complex
GO:0070744	interleukin-27 complex
GO:0070745	interleukin-35 complex
GO:0070761	pre-snoRNP complex
GO:0070762	nuclear pore transmembrane ring
GO:0070763	Delta1 complex
GO:0070764	gamma-secretase-Delta1 complex
GO:0070765	gamma-secretase complex
GO:0070766	endobrevin-synaptobrevin 2-alpha-SNAP-NSF-syntaxin-4 complex
GO:0070767	BRCA1-Rad51 complex
GO:0070768	synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Unc13 complex
GO:0070769	alphaIIb-beta3 integrin-CIB complex
GO:0070770	alphaIIb-beta3 integrin-CD47-FAK complex
GO:0070771	alphaIIb-beta3 integrin-CD47-Src complex
GO:0070772	PAS complex
GO:0070775	H3 histone acetyltransferase complex
GO:0070776	MOZ/MORF histone acetyltransferase complex
GO:0070822	Sin3-type complex
GO:0070823	HDA1 complex
GO:0070824	SHREC complex
GO:0070826	paraferritin complex
GO:0070847	core mediator complex
GO:0070850	TACC/TOG complex
GO:0070860	RNA polymerase I core factor complex
GO:0070864	sperm individualization complex
GO:0070876	SOSS complex
GO:0070877	microprocessor complex
GO:0070912	Ddb1-Ckn1 complex
GO:0070913	Ddb1-Wdr21 complex
GO:0070916	inositol phosphoceramide synthase complex
GO:0070937	CRD-mediated mRNA stability complex
GO:0070939	Dsl1/NZR complex
GO:0070985	transcription factor TFIIK complex
GO:0070992	translation initiation complex
GO:0070993	translation preinitiation complex
GO:0071001	U4/U6 snRNP
GO:0071002	U4atac/U6atac snRNP
GO:0071003	penta-snRNP complex
GO:0071004	U2-type prespliceosome
GO:0071005	U2-type precatalytic spliceosome
GO:0071006	U2-type catalytic step 1 spliceosome
GO:0071007	U2-type catalytic step 2 spliceosome
GO:0071008	U2-type post-mRNA release spliceosomal complex
GO:0071009	U4atac/U6atac x U5 tri-snRNP complex
GO:0071010	prespliceosome
GO:0071011	precatalytic spliceosome
GO:0071012	catalytic step 1 spliceosome
GO:0071013	catalytic step 2 spliceosome
GO:0071014	post-mRNA release spliceosomal complex
GO:0071015	U12-type prespliceosome
GO:0071016	U12-type precatalytic spliceosome
GO:0071017	U12-type catalytic step 1 spliceosome
GO:0071018	U12-type catalytic step 2 spliceosome
GO:0071019	U12-type post-mRNA release spliceosomal complex
GO:0071020	post-spliceosomal complex
GO:0071021	U2-type post-spliceosomal complex
GO:0071022	U12-type post-spliceosomal complex
GO:0071023	trans spliceosomal complex
GO:0071024	SL snRNP
GO:0071052	alpha9-beta1 integrin-ADAM1 complex
GO:0071053	alpha9-beta1 integrin-ADAM2 complex
GO:0071054	alpha9-beta1 integrin-ADAM3 complex
GO:0071055	alpha9-beta1 integrin-ADAM9 complex
GO:0071056	alpha9-beta1 integrin-ADAM15 complex
GO:0071057	alphav-beta3 integrin-ADAM15 complex
GO:0071058	alpha3-beta1 integrin-CD151 complex
GO:0071059	alpha6-beta1 integrin-CD151 complex
GO:0071060	alpha7-beta1 integrin-CD151 complex
GO:0071061	alpha6-beta4 integrin-CD151 complex
GO:0071062	alphav-beta3 integrin-vitronectin complex
GO:0071064	alphaE-beta7 integrin-E-cadherin complex
GO:0071065	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex
GO:0071067	alphav-beta3 integrin-ADAM23 complex
GO:0071068	alpha9-beta1 integrin-ADAM12 complex
GO:0071069	alpha4-beta1 integrin-thrombospondin-1 complex
GO:0071070	alpha4-beta1 integrin-thrombospondin-2 complex
GO:0071075	CUGBP1-eIF2 complex
GO:0071078	fibronectin-tissue transglutaminase complex
GO:0071079	alpha2-beta1 integrin-chondroadherin complex
GO:0071080	alpha3-beta1 integrin-basigin complex
GO:0071081	alpha3-beta1 integrin-CD63 complex
GO:0071082	alpha9-beta1 integrin-tenascin complex
GO:0071083	alphaV-beta3 integrin-CD47-FCER2 complex
GO:0071084	alpha2-beta1 integrin-CD47 complex
GO:0071085	alphaIIb-beta3 integrin-CD9 complex
GO:0071086	alphaIIb-beta3 integrin-CD9-CD47-platelet glycoprotein Ib complex
GO:0071087	alpha11-beta1 integrin-collagen type I complex
GO:0071088	alpha5-beta1 integrin-tissue transglutaminase complex
GO:0071089	alphaV-beta3 integrin-tissue transglutaminase complex
GO:0071090	alphaIIb-beta3 integrin-fibronectin-tissue transglutaminase complex
GO:0071091	alpha1-beta1 integrin-tissue transglutaminase complex
GO:0071092	alpha3-beta1 integrin-tissue transglutaminase complex
GO:0071093	alpha5-beta1 integrin-fibronectin-tissue transglutaminase complex
GO:0071094	alpha6-beta4 integrin-CD9 complex
GO:0071095	alpha3-beta1 integrin-thrombospondin complex
GO:0071096	alphaV-beta3 integrin-gelsolin complex
GO:0071097	alphaV-beta3 integrin-paxillin-Pyk2 complex
GO:0071098	alpha6-beta4 integrin-Fyn complex
GO:0071099	alphaV-beta6 integrin-TGFbeta-3 complex
GO:0071100	alphaV-beta8 integrin-MMP14-TGFbeta-1 complex
GO:0071101	alpha4-beta1 integrin-JAM2 complex
GO:0071102	alpha4-beta1 integrin-paxillin complex
GO:0071112	alpha4-beta4 integrin-EMILIN-1 complex
GO:0071113	alphaIIb-beta3 integrin-ICAM-4 complex
GO:0071114	alphaV-beta3 integrin-tumstatin complex
GO:0071115	alpha5-beta1 integrin-endostatin complex
GO:0071116	alpha6-beta1 integrin-CYR61 complex
GO:0071117	alpha5-beta1 integrin-fibronectin-NOV complex
GO:0071118	alphaV-beta3 integrin-NOV complex
GO:0071119	alpha7-beta1 integrin-nicotinamide riboside kinase complex
GO:0071120	alpha4-beta1 integrin-CD47 complex
GO:0071121	alpha9-beta1 integrin-VEGF-D complex
GO:0071122	alpha9-beta1 integrin-VEGF-A complex
GO:0071123	alpha9-beta1 integrin-VEGF-C complex
GO:0071124	alpha1-beta1 integrin-tyrosine-protein phosphatase non-receptor type 2 complex
GO:0071125	alphaV-beta3 integrin-EGFR complex
GO:0071126	alphaV-beta6 integrin-osteopontin complex
GO:0071127	alpha9-beta1 integrin-osteopontin complex
GO:0071128	alpha5-beta1 integrin-osteopontin complex
GO:0071129	alphaV-beta3 integrin-LPP3 complex
GO:0071130	alpha5-beta1 integrin-LPP3 complex
GO:0071131	alphaV-beta3 integrin-laminin alpha-4 complex
GO:0071132	alphaX-beta2 integrin-ICAM-4 complex
GO:0071133	alpha9-beta1 integrin-ADAM8 complex
GO:0071134	alpha9-beta1 integrin-thrombospondin-1 complex
GO:0071135	alpha7-beta1 integrin-focal adhesion kinase complex
GO:0071136	alpha7-beta1 integrin-laminin alpha-2 complex
GO:0071137	alphaV-beta3 integrin-CD98 complex
GO:0071138	alpha5-beta5-fibronectin-SFRP2 complex
GO:0071141	SMAD protein complex
GO:0071142	homomeric SMAD protein complex
GO:0071144	heteromeric SMAD protein complex
GO:0071147	TEAD-2 multiprotein complex
GO:0071148	TEAD-1-YAP complex
GO:0071149	TEAD-2-YAP complex
GO:0071150	TEAD-3-YAP complex
GO:0071151	TEAD-4-YAP complex
GO:0071152	G-protein alpha(q)-synembrin complex
GO:0071153	G-protein alpha(o)-synembrin complex
GO:0071154	G-protein alpha(i)1-synembrin complex
GO:0071155	G-protein alpha(13)-synembrin complex
GO:0071159	NF-kappaB complex
GO:0071162	CMG complex
GO:0071175	MAML2-RBP-Jkappa-ICN1 complex
GO:0071176	MAML2-RBP-Jkappa-ICN2 complex
GO:0071177	MAML2-RBP-Jkappa-ICN3 complex
GO:0071178	MAML2-RBP-Jkappa-ICN4 complex
GO:0071179	MAML3-RBP-Jkappa-ICN1 complex
GO:0071180	MAML3-RBP-Jkappa-ICN2 complex
GO:0071181	MAML3-RBP-Jkappa-ICN3 complex
GO:0071182	MAML3-RBP-Jkappa-ICN4 complex
GO:0071183	protocadherin-alpha-protocadherin-gamma complex
GO:0071184	protocadherin-alpha-v4-protocadherin-gamma-a1 complex
GO:0071185	protocadherin-alpha-v4-protocadherin-gamma-a3 complex
GO:0071186	protocadherin-alpha-v4-protocadherin-gamma-b2 complex
GO:0071187	protocadherin-alpha-v4-protocadherin-gamma-b4 complex
GO:0071188	protocadherin-alpha-v7-protocadherin-gamma-a1 complex
GO:0071189	protocadherin-alpha-v7-protocadherin-gamma-a3 complex
GO:0071190	protocadherin-alpha-v7-protocadherin-gamma-b2 complex
GO:0071191	protocadherin-alpha-v7-protocadherin-gamma-b4 complex
GO:0071192	Kv4.2-KChIP1 channel complex
GO:0071193	Kv4.2-KChIP2 channel complex
GO:0071194	Kv4.2-KChIP3 channel complex
GO:0071195	Kv4.2-KChIP4 channel complex
GO:0071196	Kv4.3-KChIP1 channel complex
GO:0071197	Kv4.2-Kv4.3 channel complex
GO:0071198	Kv4.1-DPP6 channel complex
GO:0071199	Kv4.1-DPP10 channel complex
GO:0071200	Kv4.2-DPP6 channel complex
GO:0071201	Kv4.3-DPP6 channel complex
GO:0071202	Kv4.3-DPP10 channel complex
GO:0071203	WASH complex
GO:0071254	cytoplasmic U snRNP body
GO:0071256	translocon complex
GO:0071261	Ssh1 translocon complex
GO:0071339	MLL1 complex
GO:0071439	clathrin complex
GO:0071513	phosphopantothenoylcysteine decarboxylase complex
GO:0071521	Cdc42 GTPase complex
GO:0071540	eukaryotic translation initiation factor 3 complex, eIF3e
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m
GO:0071563	Myo2p-Vac17p-Vac8p transport complex
GO:0071564	npBAF complex
GO:0071565	nBAF complex
GO:0071595	Nem1-Spo7 phosphatase complex
GO:0071664	catenin-TCF7L2 complex
GO:0071665	gamma-catenin-TCF7L2 complex
GO:0071666	Slit-Robo signaling complex
GO:0071685	NADH dehydrogenase complex (plastoquinone)
GO:0071735	IgG immunoglobulin complex
GO:0071736	IgG immunoglobulin complex, circulating
GO:0071737	IgG B cell receptor complex
GO:0071738	IgD immunoglobulin complex
GO:0071739	IgD immunoglobulin complex, circulating
GO:0071740	IgD B cell receptor complex
GO:0071741	IgD immunoglobulin complex, GPI-anchored
GO:0071742	IgE immunoglobulin complex
GO:0071743	IgE immunoglobulin complex, circulating
GO:0071744	IgE B cell receptor complex
GO:0071745	IgA immunoglobulin complex
GO:0071746	IgA immunoglobulin complex, circulating
GO:0071747	IgA B cell receptor complex
GO:0071748	monomeric IgA immunoglobulin complex
GO:0071749	polymeric IgA immunoglobulin complex
GO:0071750	dimeric IgA immunoglobulin complex
GO:0071751	secretory IgA immunoglobulin complex
GO:0071752	secretory dimeric IgA immunoglobulin complex
GO:0071753	IgM immunoglobulin complex
GO:0071754	IgM immunoglobulin complex, circulating
GO:0071755	IgM B cell receptor complex
GO:0071756	pentameric IgM immunoglobulin complex
GO:0071757	hexameric IgM immunoglobulin complex
GO:0071758	IgW immunoglobulin complex
GO:0071759	IgX immunoglobulin complex
GO:0071760	IgY immunoglobulin complex
GO:0071761	IgZ immunoglobulin complex
GO:0071762	heavy chain immunoglobulin complex
GO:0071797	LUBAC complex
GO:0071817	MMXD complex
GO:0071818	BAT3 complex
GO:0071819	DUBm complex
GO:0071821	FANCM-MHF complex
GO:0071942	XPC complex
GO:0071943	Myc-Max complex
GO:0071986	Ragulator complex
GO:0072357	PTW/PP1 phosphatase complex
GO:0072379	ER membrane insertion complex
GO:0072380	TRC complex
GO:0072487	MSL complex
GO:0072536	interleukin-23 receptor complex
GO:0072546	ER membrane protein complex
GO:0072557	IPAF inflammasome complex
GO:0072558	NLRP1 inflammasome complex
GO:0072559	NLRP3 inflammasome complex
GO:0072588	box H/ACA RNP complex
GO:0072589	box H/ACA scaRNP complex
GO:0072669	tRNA-splicing ligase complex
GO:0080008	Cul4-RING E3 ubiquitin ligase complex
GO:0080085	signal recognition particle, chloroplast targeting
GO:0089701	U2AF complex
GO:0089713	Cbf1-Met4-Met28 complex
GO:0089716	Pip2-Oaf1 complex
GO:0090443	FAR/SIN/STRIPAK complex
GO:0090533	cation-transporting ATPase complex
GO:0090534	calcium ion-transporting ATPase complex
GO:0090535	WICH complex
GO:0090536	NoRC complex
GO:0090537	CERF complex
GO:0090545	CHD-type complex
GO:0090570	RNA polymerase I transcription repressor complex
GO:0090571	RNA polymerase II transcription repressor complex
GO:0090572	RNA polymerase III transcription repressor complex
GO:0090573	RNA polymerase IV transcription repressor complex
GO:0090574	RNA polymerase V transcription repressor complex
GO:0090575	RNA polymerase II transcription regulator complex
GO:0090576	RNA polymerase III transcription regulator complex
GO:0090577	RNA polymerase IV transcription regulator complex
GO:0090578	RNA polymerase V transcription regulator complex
GO:0090661	box H/ACA telomerase RNP complex
GO:0090665	glycoprotein complex
GO:0090694	Scc2-Scc4 cohesin loading complex
GO:0090695	Wpl/Pds5 cohesin loading/unloading complex
GO:0090730	Las1 complex
GO:0090733	tenascin complex
GO:0097025	MPP7-DLG1-LIN7 complex
GO:0097057	TRAF2-GSTP1 complex
GO:0097058	CRLF-CLCF1 complex
GO:0097059	CNTFR-CLCF1 complex
GO:0097071	interferon regulatory factor complex
GO:0097072	interferon regulatory factor 3 complex
GO:0097073	interferon regulatory factor 5 complex
GO:0097074	interferon regulatory factor 7 complex
GO:0097075	interferon regulatory factor 3-interferon regulatory factor 7 complex
GO:0097076	transforming growth factor beta activated kinase 1 complex
GO:0097078	FAL1-SGD1 complex
GO:0097085	interferon regulatory factor 3-interferon regulatory factor 5 complex
GO:0097121	cyclin A1-CDK1 complex
GO:0097122	cyclin A2-CDK1 complex
GO:0097123	cyclin A1-CDK2 complex
GO:0097124	cyclin A2-CDK2 complex
GO:0097125	cyclin B1-CDK1 complex
GO:0097126	cyclin B2-CDK1 complex
GO:0097127	cyclin B3-CDK2 complex
GO:0097128	cyclin D1-CDK4 complex
GO:0097129	cyclin D2-CDK4 complex
GO:0097130	cyclin D3-CDK4 complex
GO:0097131	cyclin D1-CDK6 complex
GO:0097132	cyclin D2-CDK6 complex
GO:0097133	cyclin D3-CDK6 complex
GO:0097134	cyclin E1-CDK2 complex
GO:0097135	cyclin E2-CDK2 complex
GO:0097136	Bcl-2 family protein complex
GO:0097137	BAD-BCL-xl complex
GO:0097138	BAD-BCL-2 complex
GO:0097139	BID-BCL-2 complex
GO:0097140	BIM-BCL-xl complex
GO:0097141	BIM-BCL-2 complex
GO:0097142	PUMA-BCL-2 complex
GO:0097143	PUMA-BCL-xl complex
GO:0097144	BAX complex
GO:0097145	BAK complex
GO:0097146	NOXA-BCL-xl complex
GO:0097147	NOXA-BCL-2 complex
GO:0097148	BCL-2 complex
GO:0097149	centralspindlin complex
GO:0097169	AIM2 inflammasome complex
GO:0097179	protease inhibitor complex
GO:0097180	serine protease inhibitor complex
GO:0097181	protein C inhibitor-coagulation factor V complex
GO:0097182	protein C inhibitor-coagulation factor Xa complex
GO:0097183	protein C inhibitor-coagulation factor XI complex
GO:0097196	Shu complex
GO:0097221	M/G1 phase-specific MADS box-forkhead transcription factor complex
GO:0097255	R2TP complex
GO:0097342	ripoptosome
GO:0097344	Rix1 complex
GO:0097346	INO80-type complex
GO:0097347	TAM protein secretion complex
GO:0097361	CIA complex
GO:0097362	MCM8-MCM9 complex
GO:0097373	MCM core complex
GO:0097452	GAIT complex
GO:0097495	H-NS-Hha complex
GO:0097505	Rad6-Rad18 complex
GO:0097519	DNA recombinase complex
GO:0097520	nucleotide-excision repair, preincision complex
GO:0097522	protein-DNA ISRE complex
GO:0097523	transcription ternary complex
GO:0097525	spliceosomal snRNP complex
GO:0097526	spliceosomal tri-snRNP complex
GO:0097537	Y-shaped link
GO:0097538	ciliary necklace
GO:0097539	ciliary transition fiber
GO:0097550	transcription preinitiation complex
GO:0097582	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex
GO:0097583	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex
GO:0097584	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex
GO:0097585	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex
GO:0097586	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex
GO:0097587	MutLgamma complex
GO:0097619	PTEX complex
GO:0097648	G protein-coupled receptor complex
GO:0097651	phosphatidylinositol 3-kinase complex, class I
GO:0097652	phosphatidylinositol 3-kinase complex, class II
GO:0097654	platelet SNARE complex
GO:0097658	Asi complex
GO:0097660	SCF-Cdc4 ubiquitin ligase complex
GO:0097661	SCF-Ctf13 ubiquitin ligase complex
GO:0097662	SCF-Das1 ubiquitin ligase complex
GO:0097663	SCF-Dia2/Pof3 ubiquitin ligase complex
GO:0097664	SCF-Grr1/Pof2 ubiquitin ligase complex
GO:0097665	SCF-Mdm30 ubiquitin ligase complex
GO:0097666	SCF-Met30/Pof1 ubiquitin ligase complex
GO:0097667	SCF-Rcy1/Pof6 ubiquitin ligase complex
GO:0097668	SCF-Saf1/Pof9 ubiquitin ligase complex
GO:0097669	SCF-Skp2 ubiquitin ligase complex
GO:0097670	SCF-Ufo1/Pof10 ubiquitin ligase complex
GO:0097671	SCF-YDR131C ubiquitin ligase complex
GO:0097672	SCF-Pof5 ubiquitin ligase complex
GO:0097673	SCF-Ucc1 ubiquitin ligase complex
GO:0097674	SCF-YLR352W ubiquitin ligase complex
GO:0097675	SCF-Hrt3/Pof7 ubiquitin ligase complex
GO:0097710	viral terminase, small subunit
GO:0098009	viral terminase, large subunit
GO:0098046	type V protein secretion system complex
GO:0098533	ATPase dependent transmembrane transport complex
GO:0098561	methyl accepting chemotaxis protein complex
GO:0098635	protein complex involved in cell-cell adhesion
GO:0098636	protein complex involved in cell adhesion
GO:0098637	protein complex involved in cell-matrix adhesion
GO:0098642	network-forming collagen trimer
GO:0098651	basement membrane collagen trimer
GO:0098654	CENP-A recruiting complex
GO:0098665	serotonin receptor complex
GO:0098666	G protein-coupled serotonin receptor complex
GO:0098733	hemidesmosome associated protein complex
GO:0098745	Dcp1-Dcp2 complex
GO:0098774	curli
GO:0098796	membrane protein complex
GO:0098797	plasma membrane protein complex
GO:0098798	mitochondrial protein complex
GO:0098799	outer mitochondrial membrane protein complex
GO:0098800	inner mitochondrial membrane protein complex
GO:0098802	plasma membrane signaling receptor complex
GO:0098803	respiratory chain complex
GO:0098807	chloroplast thylakoid membrane protein complex
GO:0098820	trans-synaptic protein complex
GO:0098855	HCN channel complex
GO:0098878	neurotransmitter receptor complex
GO:0099023	vesicle tethering complex
GO:0099053	activating signal cointegrator 1 complex
GO:0099078	BORC complex
GO:0099125	PAK family kinase-Sog2 complex
GO:0099126	transforming growth factor beta complex
GO:0099128	mitochondrial iron-sulfur cluster assembly complex
GO:0101019	nucleolar exosome (RNase complex)
GO:0101031	chaperone complex
GO:0106002	mCRD-mediated mRNA stability complex
GO:0106003	amyloid-beta complex
GO:0106055	mannosyl-oligosaccharide 1,2-alpha-mannosidase complex
GO:0106068	SUMO ligase complex
GO:0106069	synapsis initiation complex
GO:0106083	nuclear membrane protein complex
GO:0106084	nuclear membrane mitotic spindle pole body tethering complex
GO:0106093	EDS1 disease-resistance complex
GO:0106094	nuclear membrane microtubule tethering complex
GO:0106098	NAGS/NAGK complex
GO:0106103	COPII vesicles tethering complex
GO:0106143	tRNA (m7G46) methyltransferase complex
GO:0106232	hydroxyisourate hydrolase complex
GO:0106234	outer membrane protein complex
GO:0106249	Nicalin-NOMO complex
GO:0110001	toxin-antitoxin complex
GO:0110016	B-WICH complex
GO:0110067	ammonium transmembrane transporter complex
GO:0110078	TTT complex
GO:0110103	RNA polymerase II termination complex
GO:0110115	Cdr2 medial cortical node complex
GO:0110129	SHREC2 complex
GO:0110131	Aim21-Tda2 complex
GO:0110142	ubiquinone biosynthesis complex
GO:0110157	reelin complex
GO:0110158	calpain complex
GO:0120097	glycosylphosphatidylinositol-mannosyltransferase II complex
GO:0120099	procentriole replication complex
GO:0120103	centriolar subdistal appendage
GO:0120114	Sm-like protein family complex
GO:0120115	Lsm2-8 complex
GO:0120123	ubiquitin activating enzyme complex
GO:0120124	membrane fusion priming complex
GO:0120125	PNGase complex
GO:0120155	MIH complex
GO:0120157	PAR polarity complex
GO:0120171	Cdc24p-Far1p-Gbetagamma complex
GO:0120216	matrilin complex
GO:0120217	DNA gyrase complex
GO:0120228	outer dynein arm docking complex
GO:0120231	DNA recombinase auxiliary factor complex
GO:0140007	KICSTOR complex
GO:0140020	DNA methyltransferase complex
GO:0140091	mBAF complex
GO:0140092	bBAF complex
GO:0140093	esBAF complex
GO:0140224	SLAC complex
GO:0140225	DNA topoisomerase III-beta-TDRD3 complex
GO:0140261	BCOR complex
GO:0140275	MIB complex
GO:0140288	GBAF complex
GO:0140366	galectin lattice
GO:0140368	decoy receptor complex
GO:0140451	counting factor complex
GO:0140497	mannan polymerase II complex
GO:0140498	mannan polymerase I complex
GO:0150005	enzyme activator complex
GO:0150006	urease activator complex
GO:0150056	amylin receptor complex 1
GO:0150057	amylin receptor complex 2
GO:0150058	amylin receptor complex 3
GO:1902493	acetyltransferase complex
GO:1902494	catalytic complex
GO:1902495	transmembrane transporter complex
GO:1902500	vacuolar HOPS complex
GO:1902501	lysosomal HOPS complex
GO:1902502	multivesicular body HOPS complex
GO:1902503	adenylyltransferase complex
GO:1902507	thiazole synthase complex
GO:1902508	2-iminoacetate synthase complex
GO:1902509	methionine-importing complex
GO:1902515	thioredoxin-disulfide reductase complex
GO:1902517	glycerol-3-phosphate-transporting ATPase complex
GO:1902554	serine/threonine protein kinase complex
GO:1902555	endoribonuclease complex
GO:1902556	phosphatidylinositol transporter complex
GO:1902560	GMP reductase complex
GO:1902562	H4 histone acetyltransferase complex
GO:1902687	glucosidase complex
GO:1902693	superoxide dismutase complex
GO:1902694	superoxide dismutase copper chaperone complex
GO:1902695	metallochaperone complex
GO:1902710	GABA receptor complex
GO:1902711	GABA-A receptor complex
GO:1902712	G protein-coupled GABA receptor complex
GO:1902773	GTPase activator complex
GO:1902792	pyrroline-5-carboxylate reductase complex
GO:1902793	glutamate decarboxylase complex
GO:1902911	protein kinase complex
GO:1902912	pyruvate kinase complex
GO:1902937	inward rectifier potassium channel complex
GO:1903095	ribonuclease III complex
GO:1903103	potassium:proton antiporter complex
GO:1903113	copper ion transmembrane transporter complex
GO:1903114	silver ion transmembrane transporter complex
GO:1903143	adrenomedullin receptor complex
GO:1903269	ornithine carbamoyltransferase inhibitor complex
GO:1903293	phosphatase complex
GO:1903439	calcitonin family receptor complex
GO:1903440	amylin receptor complex
GO:1903502	translation repressor complex
GO:1903503	ATPase inhibitor complex
GO:1903600	glutaminase complex
GO:1903767	sweet taste receptor complex
GO:1903768	taste receptor complex
GO:1903865	sigma factor antagonist complex
GO:1903958	nitric-oxide synthase complex
GO:1904090	peptidase inhibitor complex
GO:1904096	protein tyrosine phosphatase complex
GO:1904097	acid phosphatase complex
GO:1904144	phosphatidylinositol phosphate phosphatase complex
GO:1904176	carbon phosphorus lyase complex
GO:1904423	dehydrodolichyl diphosphate synthase complex
GO:1904564	Nbp35-Cfd1 ATPase complex
GO:1904602	serotonin-activated cation-selective channel complex
GO:1904852	trimethylamine-N-oxide reductase (cytochrome c) complex
GO:1904949	ATPase complex
GO:1904974	heparanase complex
GO:1905202	methylcrotonoyl-CoA carboxylase complex
GO:1905286	serine-type peptidase complex
GO:1905347	endodeoxyribonuclease complex
GO:1905348	endonuclease complex
GO:1905354	exoribonuclease complex
GO:1905360	GTPase complex
GO:1905368	peptidase complex
GO:1905369	endopeptidase complex
GO:1905370	serine-type endopeptidase complex
GO:1905379	beta-N-acetylhexosaminidase complex
GO:1905540	interleukin-7 receptor complex
GO:1905543	interleukin-15 receptor complex
GO:1905571	interleukin-10 receptor complex
GO:1905742	Ras guanyl-nucleotide exchange factor complex
GO:1905862	ferroxidase complex
GO:1905961	protein-cysteine S-palmitoyltransferase complex
GO:1990060	maltose transport complex
GO:1990061	bacterial degradosome
GO:1990062	RPAP3/R2TP/prefoldin-like complex
GO:1990063	Bam protein complex
GO:1990065	Dxr protein complex
GO:1990070	TRAPPI protein complex
GO:1990071	TRAPPII protein complex
GO:1990072	TRAPPIII protein complex
GO:1990077	primosome complex
GO:1990078	replication inhibiting complex
GO:1990082	DnaA-L2 complex
GO:1990083	DnaA-Hda complex
GO:1990084	DnaA-Dps complex
GO:1990085	Hda-beta clamp complex
GO:1990097	SeqA-DNA complex
GO:1990098	core primosome complex
GO:1990099	pre-primosome complex
GO:1990100	DnaB-DnaC complex
GO:1990101	DnaA-oriC complex
GO:1990102	DnaA-DiaA complex
GO:1990103	DnaA-HU complex
GO:1990104	DNA bending complex
GO:1990111	spermatoproteasome complex
GO:1990112	RQC complex
GO:1990121	H-NS complex
GO:1990124	messenger ribonucleoprotein complex
GO:1990125	DiaA complex
GO:1990130	GATOR1 complex
GO:1990131	Gtr1-Gtr2 GTPase complex
GO:1990133	molybdopterin cofactor (Moco) biosynthesis adenylyltransferase complex
GO:1990140	MPT synthase complex
GO:1990143	CoA-synthesizing protein complex
GO:1990148	glutamate dehydrogenase complex
GO:1990150	VEGF-A complex
GO:1990154	enzyme IIA-maltose transporter complex
GO:1990156	DnaB-DnaG complex
GO:1990157	DnaA-DnaB-DnaC complex
GO:1990158	DnaB-DnaC-DnaT-PriA-PriB complex
GO:1990159	DnaB-DnaC-DnaT-PriA-PriC complex
GO:1990160	DnaB-DnaC-Rep-PriC complex
GO:1990161	DnaB helicase complex
GO:1990176	MalFGK2 complex
GO:1990177	IHF-DNA complex
GO:1990178	HU-DNA complex
GO:1990184	amino acid transport complex
GO:1990191	cobalamin transport complex
GO:1990193	BtuCD complex
GO:1990195	macrolide transmembrane transporter complex
GO:1990196	MacAB-TolC complex
GO:1990197	ATP-dependent methionine-importing complex
GO:1990198	ModE complex
GO:1990199	MsbA transporter complex
GO:1990200	SsuD-SsuE complex
GO:1990201	alkanesulfonate monooxygenase complex
GO:1990202	FMN reductase complex
GO:1990203	MdtBC Complex
GO:1990204	oxidoreductase complex
GO:1990205	taurine dioxygenase complex
GO:1990207	EmrE multidrug transporter complex
GO:1990220	GroEL-GroES complex
GO:1990221	L-cysteine desulfurase complex
GO:1990222	ProVWX complex
GO:1990228	sulfurtransferase complex
GO:1990229	iron-sulfur cluster assembly complex
GO:1990230	iron-sulfur cluster transfer complex
GO:1990231	STING complex
GO:1990232	phosphomannomutase complex
GO:1990233	intramolecular phosphotransferase complex
GO:1990234	transferase complex
GO:1990235	diamine N-acetyltransferase complex
GO:1990243	atf1-pcr1 complex
GO:1990246	uniplex complex
