MGI_ID	BACKGROUND	GENE SYMBOL	STRAIN TYPE	TJL #	SPECIES	Std/Nonstd
24859	C3H/Hok		Substrain			Standard
28142	C3H/Hz		Substrain			Standard
1986	C3H/Ibg		Substrain			Standard
24669	C3H/Ico		Substrain			Standard
27017	C3H/Imr		Substrain			Standard
417	C3H/J		Substrain			Standard
1374	C3H/Km		Substrain			Standard
7051	C3H/Kw		Substrain			Standard
24989	C3H/Lw		Substrain			Standard
25794	C3H/N		Substrain			Standard
26222	C3H/Ncy		Substrain			Standard
25543	C3H/Nga		Substrain			Standard
27577	C3H/Ola		Substrain			Standard
28720	C3H/Orl		Substrain			Standard
599	C3H/Rl		Substrain			Standard
21627	C3H/Rl, 101/Rl, T or C57BL/6					Nonstandard
29987	C3H/SW					Nonstandard
24517	C3H/Sg		Substrain			Standard
29985	C3H/SiSnArt		Substrain			Standard
24513	C3H/Sn		Substrain			Standard
163	C3H/St		Substrain			Standard
27687	C3H/StHa		Substrain			Standard
26676	C3H/StWi		Substrain			Standard
25962	C3H/StWiHf		Substrain			Standard
767	C3H/Str		Substrain			Standard
1375	C3H/Tif		Substrain			Standard
28087	C3H/Wehi		Substrain			Standard
27469	C3H/b		Substrain			Standard
24798	C3H/fCum		Substrain			Standard
28199	C3H/fMAI		Not Specified			Standard
24474	C3H/fTif		Substrain			Nonstandard
6391	C3H10T1/2					Nonstandard
102	C3H>.t<w1>	t	Congenic			Standard
25239	C3HA		Strain family		Russia	Standard
29329	C3HA/Mv		Substrain			Standard
29330	C3HB		Strain family		Russia	Standard
29331	C3HB/Cb		Substrain			Standard
29332	C3HB/Se		Substrain			Standard
27608	C3HFeB/HeN		Substrain			Standard
2488	C3HMMTV		Not Specified			Nonstandard
24622	C3HSmn.C-Prkdc<scid>/J	Prkdc	Congenic	1131		Standard
1708	C3HeB/Fe		Substrain			Standard
176	C3HeB/FeJ		Substrain	658		Standard
19676	C3HeB/FeJ and SEC/ReJ					Nonstandard
28667	C3HeB/FeJ or BALB/cGr					Nonstandard
25940	C3HeB/FeJ x STX/Le-Mc1r<E-so>/+ Gli3<Xt-J>/+ Tw/+	Mclr, Gli3, Tw	Mutant strain	1434		Standard
26266	C3HeB/FeJ-A<vy>	a	Mutant strain	99		Standard
1664	C3HeB/FeJ-Atp2b2<dfw>/Atp2b2<dfw>	Atp2b2	Mutant strain			Standard
30261	C3HeB/FeJ-Atrn<mg-3J>	Atrn	Mutant strain	69		Standard
27976	C3HeB/FeJ-Kit<W-19H>	Kit	Mutant strain	1178		Standard
26664	C3HeB/FeJ-Lepr<db>/+	Lepr	Mutant strain	694		Standard
27429	C3HeB/FeJ-Mbp<shi>/+	Mbp	Mutant strain	1428		Standard
26963	C3HeB/FeJ-Mc1r<E-so>/Mc1r<E-so> Gli3<Xt-J>/+	Mclr, Gli3	Mutant strain	1533		Standard
28491	C3HeB/FeJ-a<t-43J>	a	Mutant strain	1312		Standard
21839	C3HeB/FeJ-ji<hes>/+	ji	Mutant strain	1904		Standard
27930	C3HeB/FeJ-mg<3J>					Standard
27812	C3HeB/FeJ-nr/+	nr	Mutant strain	229		Standard
27938	C3HeB/FeJ-sy<fp>/+	sy	Mutant strain	244		Standard
24548	C3HeB/FeJ-tx<J>	tx	Mutant strain	1576		Standard
15854	C3HeB/FeJ-vs	vs	Mutant strain	1292		Standard
24255	C3HeB/FeJLe		Substrain			Standard
29680	C3HeB/FeJLe-Dab1<scm>	Dab1	Mutant strain			Standard
27072	C3HeB/FeJLe-a	a	Substrain	198		Standard
27423	C3HeB/FeJLe-a/a	a	Substrain			Standard
26862	C3HeB/FeJLe-a/a Ca<J> Mgf<Sl> Hm	a, Ca, Mgf, Hm	Mutant strain	291		Standard
29983	C3HeB/FeJLe-a/a-Hcph<me>	a, Hcph	Mutant strain	225		Standard
28037	C3HeB/FeJLe-a/a-Hcph<me>/+	a, Hcph	Mutant strain			Standard
25646	C3HeB/FeJLe-a/a-Hm	a, Hm	Mutant strain	2502		Standard
25220	C3HeB/FeJLe-a/a-gnd	a, gnd	Mutant strain	1886		Standard
29698	C3HeB/FeJLe-a/a-s	a	Substrain			Standard
27174	C3HeB/FeJOrl		Substrain			Standard
28156	C3HeB/Hu		Substrain			Standard
653	C3Hf		Substrain			Standard
19514	C3Hf or M. spretus				M. spretus	Nonstandard
25677	C3Hf/An		Substrain			Standard
27479	C3Hf/Bi		Substrain			Standard
24896	C3Hf/HeHa		Substrain			Standard
3232	C3Hf/HeN		Substrain			Standard
29459	C3Hf/R1					Standard
1177	C3Hf/Rl		Substrain			Standard
1412	C3Hf/Rl-Otc<spf>/Y	Otc	Mutant strain			Standard
27906	C3HfB/Bi		Substrain	1908		Standard
25648	C3HfB/Ga-Cas1<b>	Cas1	Mutant strain	1906		Standard
24674	C3HfB/HeN		Substrain			Standard
24723	C3HfB/Hf		Substrain			Standard
27111	C3HfB/Hu		Substrain			Standard
27628	C3Hfh/HeJBm-Kit<W-x>/+	Kit	Mutant strain	1915		Standard
969	C57/e/Ha		Not Specified			Nonstandard
1555	C57/eHaRos		Not Specified			Nonstandard
433	C57BL		Strain family			Standard
16293	C57BL-A<w> Cas1<b>	A, Cas1	Mutant strain			Standard
12767	C57BL-Tyr<c>	Tyr	Mutant strain			Standard
25605	C57BL-rp/+	rp	Mutant strain	1942		Standard
66	C57BL/10		Strain family			Standard
1510	C57BL/10 or B10.RIII					Nonstandard
16874	C57BL/10 or M. spretus				M. m. musculus or M. spretus	Nonstandard
18393	C57BL/10, B10.A, B10.BR or B10.D2					Nonstandard
27832	C57BL/10-Cd4<tm1>					Standard
30231	C57BL/10-Cd4<tm1Litt>	Cd4	Targeted mutation	2447		Standard
862	C57BL/10-Dmd<mdx>	Dmd	Mutant strain			Standard
864	C57BL/10-Dmd<mdx>/Dmd<mdx>	Dmd	Mutant strain			Standard
16958	C57BL/10-Dmd<mdx>/Y	Dmd	Mutant strain			Standard
21110	C57BL/10-H2	H2	Substrain			Standard
1271	C57BL/10-H2<g7>	H2	Substrain			Standard
9042	C57BL/10-H2<sm1>	H2				
25833	C57BL/10-H2<w7>	H2	Substrain			Standard
26232	C57BL/10-Igh-6<tm1Cgn>	Igh-6	Targeted mutation	2249		Standard
27700	C57BL/10-Il10<tm1Cgn>	Il10	Targeted mutation	2250		Standard
28948	C57BL/10-Il10<tm1Cgn> A<w-45J>	Il10, a	Targeted mutation			Standard
1961	C57BL/10-T	T	Substrain			Standard
27940	C57BL/10-TgN(TcrAND)53Hed		Transgenic	2761		Standard
1122	C57BL/10.A(2R)		Congenic			Standard
1120	C57BL/10.A(5R)		Congenic			Standard
30092	C57BL/10/Ph-T		Mutant strain			Standard
443	C57BL/10A		Substrain			Standard
24952	C57BL/10Ch		Substrain			Standard
16706	C57BL/10Cr		Substrain			Standard
20628	C57BL/10CrSlc		Substrain			Standard
26234	C57BL/10Crl		Substrain			Standard
28240	C57BL/10Fo		Substrain			Standard
28116	C57BL/10Gn		Substrain			Standard
25528	C57BL/10Gn-Rn/+	Rn	Mutant strain	234		Standard
26404	C57BL/10GnDgWtRk		Substrain			Standard
24677	C57BL/10Hz		Substrain			Standard
22	C57BL/10J		Substrain	665		Standard
27921	C57BL/10J-B2m<tm1Unc>	B2m	Targeted mutation	2454		Standard
16258	C57BL/10J-coa	coa	Mutant strain			Standard
18262	C57BL/10JGn		Substrain			Standard
30260	C57BL/10JGn-Alx4<lst>	Alx4	Mutant strain			Standard
27600	C57BL/10JGn-lst					Standard
25752	C57BL/10JGn-lu	lu	Mutant strain			Standard
26660	C57BL/10JGn-lx	lx	Mutant strain			Standard
28068	C57BL/10JHz		Substrain			Standard
29704	C57BL/10JPin-Ap3b1<pe>	Ap3b1	Mutant strain			Standard
24970	C57BL/10JSmn		Substrain			Standard
286	C57BL/10N		Substrain			Standard
1673	C57BL/10Nimr		Substrain			Standard
1426	C57BL/10Nimr-+/Pax6<Sey-MH>	Pax6	Mutant strain			Standard
25393	C57BL/10Ola		Substrain			Standard
30006	C57BL/10Or		Substrain			Standard
27770	C57BL/10Orl		Substrain			Standard
576	C57BL/10Orr		Substrain			Standard
1311	C57BL/10Pas		Substrain			Standard
14489	C57BL/10Ph		Substrain			Standard
107	C57BL/10Ph-T	T	Substrain			Standard
16419	C57BL/10Rl		Substrain			Standard
29668	C57BL/10Ros-pf	pf	Mutant strain			Standard
692	C57BL/10ScN		Substrain			Standard
28397	C57BL/10ScNHsd		Substrain			Standard
368	C57BL/10ScSn		Substrain	476		Standard
25624	C57BL/10ScSn-Dmd<mdx>	Dmd	Mutant strain	1267		Standard
25964	C57BL/10ScSn-Dmd<mdx>/J	Dmd	Mutant strain	1801		Standard
25256	C57BL/10ScSn-T/+	T	Mutant strain	405		Standard
26174	C57BL/10ScSnA		Substrain			Standard
26178	C57BL/10ScSnJ		Substrain			Standard
24905	C57BL/10ScSnLac		Substrain			Standard
7726	C57BL/10ScSnNimr		Substrain			Standard
27902	C57BL/10ScSnOla		Substrain			Standard
28415	C57BL/10ScSnOlaHsd		Substrain			Standard
13367	C57BL/10ScSnPh		Substrain			Standard
16901	C57BL/10ScSnPh-T or wild	T				Nonstandard
27418	C57BL/10Sg		Substrain			Standard
271	C57BL/10SgSn		Substrain			Standard
28592	C57BL/10Slc		Substrain			Standard
116	C57BL/10Sn		Substrain			Standard
17029	C57BL/10Sn-Dmd<mdx>	Dmd	Mutant strain			Standard
3573	C57BL/10SnCr		Substrain			Standard
218	C57BL/10SnJ		Substrain	666		Standard
28098	C57BL/10SnJ-Tyr<c-11J>	Tyr	Mutant strain	1002		Standard
29703	C57BL/10SnJ-ru2<10J>	ru2	Mutant strain			Standard
1694	C57BL/10SnPh-T	T	Mutant strain			Standard
1037	C57BL/10SnSlc		Substrain			Standard
25832	C57BL/10Sx		Substrain	1822		Standard
27047	C57BL/10WtRk		Substrain	1197		Standard
40	C57BL/6		Strain family			Standard
29447	C57BL/6 +/+		Substrain			Standard
29700	C57BL/6 and 129					Nonstandard
29733	C57BL/6 and 129/SvEv					Nonstandard
2184	C57BL/6 and B6.C-H28<c>	H28				Nonstandard
4552	C57BL/6 or (C57BL/6 x CBA)F1					Nonstandard
16505	C57BL/6 or BALB/c					Nonstandard
29736	C57BL/6 or BALB/c and 129X1/SvJ					Nonstandard
4647	C57BL/6 or DBA/2					Nonstandard
17573	C57BL/6 or M. spretus				M. m. domesticus or M. spretus	Nonstandard
18039	C57BL/6 or M. spretus/Crc				M. m. domesticus or M. spretus	Nonstandard
19483	C57BL/6 or MSM				M. m. molossinus (Japan)	Nonstandard
19235	C57BL/6 or SEG				M. m. domesticus or M. spretus	Nonstandard
12558	C57BL/6, BALB/c					Nonstandard
10521	C57BL/6, CBA/J					Nonstandard
29910	C57BL/6-(TgN (MbpReg)36Pop enr<Tgn36Pop>	enr	Transgenic	2491		Standard
29742	C57BL/6-129/Sv					Nonstandard
29741	C57BL/6-129/Sv-wn/wn	wn				Nonstandard
24385	C57BL/6-A<y>	a	Mutant strain			Standard
25999	C57BL/6-Acat1<tm1>	Acat	Targeted mutation	2897		Standard
27431	C57BL/6-Adra2a<tm1Lel>	Adra2a	Targeted mutation	2777		Standard
24383	C57BL/6-Alox15<tm1Fun>	Alox15	Targeted mutation	2778		Standard
1314	C57BL/6-Apc<Min>/+	Apc	Mutant strain			Standard
24646	C57BL/6-Atp7a<Mo-br>	Atp7a	Mutant strain	2566		Standard
28104	C57BL/6-Bax<tm1Sjk>	Bax	Targeted mutation	2994		Standard
29556	C57BL/6-Blmh<tm1Geh>		Targeted mutation	3509		Nonstandard
27239	C57BL/6-Bmp4<tm1Blh>	Bmp4	Targeted mutation	2612		Standard
30030	C57BL/6-C2ta<tm1Ccum>	C2ta	Targeted mutation	3239		Standard
24456	C57BL/6-Calb1<tm1Mpin>	Calb1	Targeted mutation	3079		Standard
27567	C57BL/6-Camk2a<tm1>	Camk2a	Targeted mutation	2362		Standard
28277	C57BL/6-Camk2a<tm1>-a<t-57J>	Camk2a, a	Targeted mutation			Standard
26073	C57BL/6-Cd28<tm1Mak>	Cd28	Targeted mutation	2666		Standard
25419	C57BL/6-Cd3z<tm1Lov>	Cd3z	Targeted mutation	2704		Standard
24666	C57BL/6-Cd4<tm1Mak>	Cd4	Targeted mutation	2663		Standard
19824	C57BL/6-Cd5	Cd5	Mutant strain			Standard
24588	C57BL/6-Cd72<c> Mup1<a>	Cd72	Mutant strain	1712		Standard
30244	C57BL/6-Cd80<tm1Shr>	Cd80	Targeted mutation	3611		Standard
30250	C57BL/6-Cd80<tm1Shr> Cd86<tm1Shr>	Cd80, Cd86	Targeted mutation	3610		Standard
30253	C57BL/6-Cd86<tm1Shr>	Cd86	Targeted mutation	3609		Standard
26117	C57BL/6-Cd8a	Cd8a	Mutant strain			Standard
922	C57BL/6-Cd8a<a>	Cd8a	Mutant strain			Standard
28005	C57BL/6-Cd8a<tm1Mak>	Cd8a	Targeted mutation	2665		Standard
2054	C57BL/6-Cd8b<b>	Cd8b	Mutant strain			Standard
29476	C57BL/6-Cdkn1c<tm1Sje>	Cdkn1c	Targeted mutation	3336		Standard
25354	C57BL/6-Cftr<tm1Kth>	Cftr	Mutant strain	2515		Standard
25331	C57BL/6-Cnca<tm1Ngai>	Cnca	Targeted mutation	2905		Standard
25130	C57BL/6-Cybb<tm1>	Cybb	Targeted mutation	2365		Standard
8800	C57BL/6-Dmd<mdx>	Dmd	Mutant strain			Standard
166	C57BL/6-Fas<lpr>	Fas	Mutant strain			Standard
7374	C57BL/6-Fas<lpr>/Fas<lpr>	Fas	Mutant strain			Standard
29519	C57BL/6-Fas<tm1>	Fas	Mutant strain	3233		Standard
1806	C57BL/6-Fbn1<Tsk>	Fbn1	Mutant strain			Standard
24014	C57BL/6-Fbn1<Tsk> +/+	Fbn1	Mutant strain			Standard
26409	C57BL/6-Fbn1<Tsk> +/+ pa	Fbn1, pa	Mutant strain	305		Standard
25465	C57BL/6-Ftzf1<tm1Klp>	Ftzf1	Targeted mutation	2654		Standard
28132	C57BL/6-Fv1<n>	Fv1	Mutant strain	2091		Standard
29590	C57BL/6-Gck<tm1>	Gck	Targeted mutation	3316		Standard
29521	C57BL/6-Gck<tm1Ts>	Gck	Targeted mutation	3264		Standard
24837	C57BL/6-Gpi1<b> x B6CBACa-A<w-J>/A-T(7;15)9H Gpi1<a>	Gpi1, A, T(7;15)9H	Chromosome aberration	600		Standard
29456	C57BL/6-Gtrosa26<tm1Sor>	Gtrosa26	Targeted mutation	3565		Standard
25473	C57BL/6-H2-Aa<tm1>	H2	Targeted mutation	2701		Standard
88	C57BL/6-H2-T18<a>	H2-T18	Substrain			Standard
26366	C57BL/6-H2-T18<a> Ce2<b>	H2-T18, Ce2	Mutant strain	1896		Standard
26918	C57BL/6-H2-T18<a> hr	H2-T18, hr	Mutant strain	1737		Standard
1533	C57BL/6-H2-T18<a>/Boy	H2-T18	Substrain			Standard
28271	C57BL/6-H2<b>	H2, Fv1	Mutant strain			Standard
6784	C57BL/6-H2<bm1>	H2	Mutant strain			Standard
96	C57BL/6-H2<k>	H2	Mutant strain			Standard
24771	C57BL/6-Hba-a1<tm1Paz> Hba-a2<tm1Paz>	Hba-a1, Hba-a2	Targeted mutation	2616		Standard
27919	C57BL/6-Hbb-b1<tm1Unc> Hbb-b2<tm1Unc>	Hbb	Targeted mutation	2683		Standard
1805	C57BL/6-Hcph<me>	Hcph	Mutant strain			Standard
25828	C57BL/6-Hdh<tm1Mem>	Hdh	Targeted mutation	2688		Standard
29567	C57BL/6-Hdh<tm3Mem>	Hdh	Targeted mutation	3454		Standard
27018	C57BL/6-Htr2c<tm1Jul>	Htr2c	Targeted mutation	2627		Standard
26609	C57BL/6-Icam1<tm1Bay> Selp<tm1Bay>	Icam1, Selp	Targeted mutation	2285		Standard
24453	C57BL/6-Icam1<tm1Jcgr>	Icam1	Targeted mutation	2867		Standard
25760	C57BL/6-Ifng<tm1Ts>	Ifng	Targeted mutation	2287		Standard
27817	C57BL/6-Igh-6<tm1Cgn>	Igh-6	Targeted mutation	2288		Standard
26834	C57BL/6-Igh-J<tm1Cgn>	Igh-J	Targeted mutation	2438		Standard
27478	C57BL/6-Igk-C<tm1Cgn>	Igk-C	Targeted mutation	2400		Standard
24494	C57BL/6-Igl-5<tm1Cgn>	Igl-5	Targeted mutation	2401		Standard
25269	C57BL/6-Ii<tm1Liz>	Ii	Targeted mutation	2729		Standard
26351	C57BL/6-Il10<tm1Cgn>	Il10	Targeted mutation	2251		Standard
24931	C57BL/6-Il12a<tm1Jm>	Il12a	Targeted mutation	2692		Standard
25863	C57BL/6-Il12b<tm1Jm>	Il12b	Targeted mutation	2693		Standard
29412	C57BL/6-Il1r1<tm1Imx>	Il1r1	Targeted mutation	3245		Standard
26119	C57BL/6-Il4<tm1Nnt>	Il4	Targeted mutation	2518		Standard
27177	C57BL/6-Inhbb<tm1Jae>	Inhbb	Targeted mutation	2442		Standard
26309	C57BL/6-Irf1<tm1Mak>	Irf1	Targeted mutation	2762		Standard
28007	C57BL/6-Itga4<tm1Hyn>	Itga4	Targeted mutation	2463		Standard
29565	C57BL/6-Itgb2<tm2Bay>	Itgb2	Targeted mutation	3329		Standard
29646	C57BL/6-Itgb7<tm1Cgn>	Itgb7	Targeted mutation	2965		Standard
24686	C57BL/6-Itgb7<tm1Dfs>	Itgb7	Targeted mutation			Standard
29348	C57BL/6-Jup<tm1Kem>	Jup	Targeted mutation	3360		Standard
30222	C57BL/6-Jup<tm1Ruiz>	Jup	Targeted mutation	3334		Standard
13085	C57BL/6-Kcnj6<wv>/+	Kcnj6	Mutant strain			Standard
1653	C57BL/6-Kit<W-19H>	Kit	Mutant strain			Standard
30126	C57BL/6-Lag3<tm1Doi>	Lag3	Targeted mutation			Standard
29563	C57BL/6-Lbp<tm1>	Lbp	Targeted mutation	3464		Standard
25204	C57BL/6-Lef1<tm1>	Lef1	Targeted mutation	2617		Standard
8867	C57BL/6-Lep<ob>/Lep<ob>	Lep	Mutant strain			Standard
25801	C57BL/6-Mash1<tm1And>	Mash1	Targeted mutation	2991		Standard
24542	C57BL/6-Myf6<tm1Wb>	Myf6	Targeted mutation	2475		Standard
27948	C57BL/6-Ncam<tm1Cgn>	Ncam	Targeted mutation	2405		Standard
1379	C57BL/6-Neu1	Neu1	Mutant strain			Standard
24592	C57BL/6-Nf1<tm1Fcr>	Nf1	Targeted mutation	2646		Standard
29533	C57BL/6-Ngfb<tm1>	Ngfb	Targeted mutation	3312		Standard
26778	C57BL/6-Nos2<tm1Lau>	Nos2	Targeted mutation	2609		Standard
4114	C57BL/6-Pax3<Sp>/Pad<Sp>	Pax3, Pad	Mutant strain			Standard
2027	C57BL/6-Pax6<Sey-H>	Pax6	Mutant strain			Standard
26130	C57BL/6-Penk2<tm1Pig>	Penk2	Targeted mutation	2880		Standard
26340	C57BL/6-Pfp<tm1Sdz>	Pfp	Targeted mutation	2407		Standard
26588	C57BL/6-Plat<tm1>	Plat	Targeted mutation	2508		Standard
26581	C57BL/6-Plau<tm1>	Plau	Targeted mutation	2509		Standard
29046	C57BL/6-Pomc<tm1Low>	Pomc	Targeted mutation	3191		Standard
29513	C57BL/6-Prlr<tm1Cnp>	Prlr	Targeted mutation	3142		Standard
30160	C57BL/6-Ptgs1<tm1Unc>-p<15J>	Ptgs1	Targeted mutation	3583		Standard
15227	C57BL/6-Sd pa	Sd, pa	Mutant strain			Standard
29597	C57BL/6-Soat1<tm1>	Soat1	Targeted mutation	3322		Standard
26604	C57BL/6-Sod2<tm1Leb>	Sod2	Targeted mutation	2973		Standard
29564	C57BL/6-Srb1<tm1>	Srb1	Targeted mutation	3467		Standard
24675	C57BL/6-TgN(APOA1)1Rub		Transgenic	1927		Standard
28239	C57BL/6-TgN(APOA2)3Rub		Transgenic	2084		Standard
29530	C57BL/6-TgN(AlbLCAT)1Jdm		Transgenic	3489		Standard
29618	C57BL/6-TgN(B2M)Dcr		Transgenic	3433		Standard
29613	C57BL/6-TgN(B2M,HLA-B2705)/Dcr		Transgenic			Standard
30027	C57BL/6-TgN(B2M,HLA-B2705)Dcr		Transgenic	3428		Standard
24812	C57BL/6-TgN(BCL2)22Wehi		Transgenic	2319		Standard
26166	C57BL/6-TgN(BCL2)25Wehi		Transgenic	2320		Standard
26635	C57BL/6-TgN(BCL2)36Wehi		Transgenic	2321		Standard
29526	C57BL/6-TgN(C3-1-TAg)cJeg		Transgenic	3380		Standard
29506	C57BL/6-TgN(CD8aCD8b)57Scr		Transgenic	3202		Standard
24809	C57BL/6-TgN(CETP)1Pnu		Transgenic	1929		Standard
29865	C57BL/6-TgN(CRF)227.1Pbl		Transgenic	3210		Standard
27186	C57BL/6-TgN(Ctla4)		Transgenic	2980		Standard
29478	C57BL/6-TgN(HLA-A2.1)1Enge		Transgenic	3475		Standard
29599	C57BL/6-TgN(HLA-B2705)Dcr		Transgenic	3440		Standard
29514	C57BL/6-TgN(HLADRIE)J18Kito		Transgenic	3144		Standard
26425	C57BL/6-TgN(IghelMD4)4Ccg		Transgenic	2595		Standard
24492	C57BL/6-TgN(K6ODCtr)55Tgo		Transgenic	2647		Standard
27924	C57BL/6-TgN(KLK4mHEL)6Ccg		Transgenic	2598		Standard
29523	C57BL/6-TgN(LIPC)6784His		Transgenic	3285		Standard
27829	C57BL/6-TgN(LacZpl)60Vij		Transgenic	2754		Standard
26017	C57BL/6-TgN(LckIl4)1315Dbl		Transgenic			Standard
30252	C57BL/6-TgN(LckNotch1)9Erob		Transgenic	3332		Standard
25751	C57BL/6-TgN(ML5sHEL)5Ccg		Transgenic	2599		Standard
29407	C57BL/6-TgN(MbpReg)36Pop enr<Tgn36Pop>	enr	Transgenic			Standard
30036	C57BL/6-TgN(PRG1)18Wlad		Transgenic	3185		Standard
29516	C57BL/6-TgN(PRG1)9Wlad		Transgenic			Standard
29517	C57BL/6-TgN(PRG3)9Wlad		Transgenic	3186		Standard
29525	C57BL/6-TgN(Prn-APP695)3Dbo		Transgenic	3375		Standard
29524	C57BL/6-TgN(RIPGCK)		Transgenic	3317		Standard
25939	C57BL/6-TgN(SOD1)10Cje		Transgenic	2628		Standard
25886	C57BL/6-TgN(SOD1)3Cje		Transgenic	2629		Standard
25497	C57BL/6-TgN(TAgPb)8247NMG1		Transgenic	3134		Standard
27365	C57BL/6-TgN(TAgPb)NMG1		Transgenic	3133		Standard
29484	C57BL/6-TgN(TF-CAT)48Gsa		Transgenic	3333		Standard
27353	C57BL/6-TgN(TRAMP)8247Ng		Transgenic	3135		Standard
25351	C57BL/6-TgN(TcrOva)1100Mjb		Transgenic	2929		Standard
29436	C57BL/6-TgN(Zp3Cre)3Mrt		Transgenic	3394		Standard
29529	C57BL/6-TgN(c-fosLuc)1XXX		Transgenic	3479		Standard
26248	C57BL/6-TgN(g2b/mumem)3Storb		Transgenic	2030		Standard
27046	C57BL/6-TgN(hAGT)2041Sig		Transgenic	2749		Standard
24667	C57BL/6-TgN(hREN)9Sig		Transgenic	2750		Standard
25079	C57BL/6-TgN(lambda2E[H])2Storb		Transgenic	2029		Standard
29474	C57BL/6-TgN(xstpxLacZ)36And		Transgenic	2892		Standard
24460	C57BL/6-Tgfb3<tm1Doe>	Tgfb3	Targeted mutation	2619		Standard
29560	C57BL/6-Thra<tm1>	Thra	Transgenic	3461		Standard
29561	C57BL/6-Thrb<tm1>	Thrb	Transgenic	3462		Standard
25475	C57BL/6-Tnfr2<tm1Mwm>	Tnfr2	Mutant strain			Standard
30110	C57BL/6-Tnfrsf1a<tm1Imx>	Tnfrsf1a	Targeted mutation	3242		Standard
29349	C57BL/6-Tnfrsf1a<tm1Mak>	Tnfrsf1a	Targeted mutation	2818		Standard
29739	C57BL/6-Tnfrsf1b<tm1Imx>	Tnfrsf1b	Targeted mutation	3246		Standard
30049	C57BL/6-Tnfrsf1b<tm1Mwm>	Tnfrsf1b	Targeted mutation	2620		Standard
5626	C57BL/6-a/a	a	Substrain			Standard
16628	C57BL/6-azh/azh	azh	Mutant strain			Standard
16426	C57BL/6-b m	b, m	Mutant strain			Standard
21547	C57BL/6-jvs/jvs	jvs	Mutant strain			Standard
16509	C57BL/6-m	m	Mutant strain			Standard
20305	C57BL/6-ma Va<J>	ma, Va	Mutant strain			Standard
8379	C57BL/6-mnd	mnd	Mutant strain			Standard
17282	C57BL/6-p	p	Mutant strain			Standard
21622	C57BL/6-pa +/pa +	pa	Mutant strain			Standard
24015	C57BL/6-pa Fbn1<Tsk>/pa +	pa, Fbn1	Mutant strain			Standard
14009	C57BL/6-pa/pa	pa	Mutant strain			Standard
19634	C57BL/6-wr/+	wr	Mutant strain			Standard
29496	C57BL/6.A-D1Mit305	D1Mit305	Congenic			Standard
29929	C57BL/6.A-D1Mit7-D1Mit305	D1Mit7, D1Mit305	Congenic	3164		Standard
29684	C57BL/6/C3H		Not Specified			Nonstandard
1135	C57BL/6A		Substrain			Standard
27323	C57BL/6AnHf		Substrain			Standard
25010	C57BL/6Bom		Substrain			Standard
25021	C57BL/6Boy		Substrain			Standard
201	C57BL/6By		Substrain			Standard
26123	C57BL/6By-Ca Mgf<Sl>	Ca, Mgf	Mutant strain	124		Standard
27143	C57BL/6By-Eh	Eh	Mutant strain	523		Standard
26208	C57BL/6By-Eh/Eh	Eh	Mutant strain			Standard
24524	C57BL/6By-Mitf<Mi-wh> Kit<W-v>	Mitf, Kit	Mutant strain	350		Standard
24462	C57BL/6By-Mitf<Mi-wh> Kit<W-v> T	Mitf, Kit, t	Mutant strain			Standard
20022	C57BL/6By-Pmp22<Tr> Re	Pmp22, Re	Mutant strain			Standard
25895	C57BL/6By-Ra Os Pt	Ra, Os, Pt	Mutant strain	125		Standard
26397	C57BL/6By-Re Sd Va<J>	Re, Sd, Va	Mutant strain	126		Standard
26333	C57BL/6By-Re<den>/+	Re	Mutant strain	522		Standard
26742	C57BL/6By-Sig/+	Sig	Mutant strain	836		Standard
28381	C57BL/6By-Va<J>	Va	Mutant strain	846		Standard
28403	C57BL/6By-bc<4J>	bc	Mutant strain	1208		Standard
28441	C57BL/6By-js/+	js	Mutant strain	344		Standard
17362	C57BL/6By-ma	ma	Mutant strain			Standard
26262	C57BL/6By-p	p	Mutant strain	1059		Standard
756	C57BL/6ByA		Substrain			Standard
55	C57BL/6ByJ		Substrain	1139		Standard
25942	C57BL/6ByJ-qv<4J>	qv	Mutant strain	3130		Standard
29336	C57BL/6Ca		Substrain			Standard
25054	C57BL/6Cr		Substrain			Standard
4803	C57BL/6CrSlc		Substrain			Standard
1647	C57BL/6Crc		Substrain			Standard
569	C57BL/6Crl		Substrain			Standard
24606	C57BL/6Cum		Substrain			Standard
25989	C57BL/6Eg		Substrain			Standard
1546	C57BL/6Ei		Substrain			Standard
19786	C57BL/6Ei-Pmp22<Tr-J> Re	Pmp22, Re	Mutant strain			Standard
23161	C57BL/6Ei-Pmp22<Tr-J> Re or C57L/J or C57BL/6	Pmp22, Re				Nonstandard
29864	C57BL/6Ei-Pmp22<Tr>	Pmp22	Mutant strain			Standard
19897	C57BL/6Ei-Pmp22<Tr>/+	Pmp22	Mutant strain			Standard
19787	C57BL/6Ei-Re	Re	Mutant strain			Standard
25134	C57BL/6Ei-Re Pmp22<Tr-J>	Re, Pmp22	Mutant strain			Standard
29340	C57BL/6Ei-Y<CZII)		Consomic			Standard
29337	C57BL/6Ei-Y<LIP>		Consomic			Standard
29339	C57BL/6Ei-Y<VIB>		Consomic			Standard
29338	C57BL/6Ei-Y<WSB>		Consomic			Standard
25735	C57BL/6EiJ		Substrain			Standard
1681	C57BL/6Fg-pcy/pcy	pcy	Mutant strain			Standard
387	C57BL/6Fla		Substrain			Standard
1535	C57BL/6FrSe		Substrain			Standard
